         47920339 function calls (47665488 primitive calls) in 268.845 seconds

   Ordered by: cumulative time
   List reduced from 8886 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1070/330    0.011    0.000   10.434    0.032 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     25/3    0.000    0.000   10.315    3.438 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler.py:433(compile_extra)
     25/3    0.000    0.000   10.306    3.435 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler.py:500(_compile_bytecode)
     25/3    0.004    0.000   10.306    3.435 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler.py:456(_compile_core)
     25/3    0.004    0.000   10.299    3.433 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler_machinery.py:342(run)
   675/81    0.059    0.000   10.291    0.127 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler_machinery.py:267(_runPass)
 2025/243    0.006    0.000   10.256    0.042 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/compiler_machinery.py:271(check)
    18188    0.101    0.000    9.930    0.001 /home/ubuntu/.local/lib/python3.13/site-packages/structlog/_native.py:142(meth)
       20    0.000    0.000    9.839    0.492 /home/ubuntu/.local/lib/python3.13/site-packages/torch/_ops.py:307(py_impl)
    18188    0.119    0.000    9.828    0.001 /home/ubuntu/.local/lib/python3.13/site-packages/structlog/_base.py:192(_proxy_to_logger)
   337524    0.642    0.000    9.439    0.000 /workspace/farm/core/channels.py:311(_safe_decay_sparse_channel)
      985    0.013    0.000    9.207    0.009 /workspace/farm/database/database.py:692(_execute_in_transaction)
    25/13    0.007    0.000    9.055    0.697 /home/ubuntu/.local/lib/python3.13/site-packages/numba/core/typed_passes.py:439(run_pass)


